Sitemap URL,Listed URL,HTTP status,Canonical,Robots,Should be indexable?,Included correctly?,Missing from sitemap?,Should be removed from sitemap?,Lastmod if present,Priority/changefreq if present,Notes
https://www.fromthetrunk.shop/sitemap.xml,https://www.fromthetrunk.shop/,200,https://www.fromthetrunk.shop,"index, follow",yes,yes,no,no,2026-04-27T00:00:00.000Z,1 / daily,
https://www.fromthetrunk.shop/sitemap.xml,https://www.fromthetrunk.shop/collection,200,https://www.fromthetrunk.shop/collection,"index, follow",yes,yes,no,no,2026-04-27T00:00:00.000Z,0.9 / daily,
https://www.fromthetrunk.shop/sitemap.xml,https://www.fromthetrunk.shop/top-viewed,200,https://www.fromthetrunk.shop/top-viewed,"index, follow",yes,yes,no,no,2026-04-27T00:00:00.000Z,0.8 / daily,
https://www.fromthetrunk.shop/sitemap.xml,https://www.fromthetrunk.shop/our-story,200,https://www.fromthetrunk.shop/our-story,"index, follow",yes,yes,no,no,2026-04-27T00:00:00.000Z,0.75 / monthly,
https://www.fromthetrunk.shop/sitemap.xml,https://www.fromthetrunk.shop/our-team,200,https://www.fromthetrunk.shop/our-team,"index, follow",yes,yes,no,no,2026-04-27T00:00:00.000Z,0.7 / monthly,
https://www.fromthetrunk.shop/sitemap.xml,https://www.fromthetrunk.shop/faqs,200,https://www.fromthetrunk.shop/faqs,"index, follow",yes,yes,no,no,2026-04-27T00:00:00.000Z,0.6 / monthly,
https://www.fromthetrunk.shop/sitemap.xml,https://www.fromthetrunk.shop/contact,200,https://www.fromthetrunk.shop/contact,"index, follow",yes,yes,no,no,2026-04-27T00:00:00.000Z,0.6 / monthly,
https://www.fromthetrunk.shop/sitemap.xml,https://www.fromthetrunk.shop/how-it-works,200,https://www.fromthetrunk.shop/how-it-works,"index, follow",yes,yes,no,no,2026-04-27T00:00:00.000Z,0.7 / monthly,
https://www.fromthetrunk.shop/sitemap.xml,https://www.fromthetrunk.shop/authentication,200,https://www.fromthetrunk.shop/authentication,"index, follow",yes,yes,no,no,2026-04-27T00:00:00.000Z,0.7 / monthly,
https://www.fromthetrunk.shop/sitemap.xml,https://www.fromthetrunk.shop/policies,200,https://www.fromthetrunk.shop/policies,"index, follow",yes,yes,no,no,2026-04-27T00:00:00.000Z,0.4 / yearly,
https://www.fromthetrunk.shop/sitemap.xml,https://www.fromthetrunk.shop/why,200,https://www.fromthetrunk.shop/why,"index, follow",yes,yes,no,no,2026-04-27T00:00:00.000Z,0.6 / monthly,
https://www.fromthetrunk.shop/sitemap.xml,https://www.fromthetrunk.shop/sell-your-saree,200,https://www.fromthetrunk.shop/sell-your-saree,"index, follow",yes,yes,no,no,2026-04-27T00:00:00.000Z,0.75 / weekly,
https://www.fromthetrunk.shop/sitemap.xml,https://www.fromthetrunk.shop/packing,200,https://www.fromthetrunk.shop/packing,"index, follow",yes,yes,no,no,2026-04-27T00:00:00.000Z,0.3 / yearly,
https://www.fromthetrunk.shop/sitemap.xml,https://www.fromthetrunk.shop/policies/privacy-policy,200,https://www.fromthetrunk.shop/policies/privacy-policy,"index, follow",yes,yes,no,no,2026-04-27T00:00:00.000Z,0.35 / yearly,
https://www.fromthetrunk.shop/sitemap.xml,https://www.fromthetrunk.shop/policies/return-refund-policy,200,https://www.fromthetrunk.shop/policies/return-refund-policy,"index, follow",yes,yes,no,no,2026-04-27T00:00:00.000Z,0.35 / yearly,
https://www.fromthetrunk.shop/sitemap.xml,https://www.fromthetrunk.shop/policies/shipping-delivery-policy,200,https://www.fromthetrunk.shop/policies/shipping-delivery-policy,"index, follow",yes,yes,no,no,2026-04-27T00:00:00.000Z,0.35 / yearly,
https://www.fromthetrunk.shop/sitemap.xml,https://www.fromthetrunk.shop/policies/terms-of-service,200,https://www.fromthetrunk.shop/policies/terms-of-service,"index, follow",yes,yes,no,no,2026-04-27T00:00:00.000Z,0.35 / yearly,
https://www.fromthetrunk.shop/sitemap.xml,https://www.fromthetrunk.shop/policies/authentication-condition-policy,200,https://www.fromthetrunk.shop/policies/authentication-condition-policy,"index, follow",yes,yes,no,no,2026-04-27T00:00:00.000Z,0.35 / yearly,
https://www.fromthetrunk.shop/sitemap.xml,https://www.fromthetrunk.shop/policies/care-packaging-policy,200,https://www.fromthetrunk.shop/policies/care-packaging-policy,"index, follow",yes,yes,no,no,2026-04-27T00:00:00.000Z,0.35 / yearly,
https://www.fromthetrunk.shop/sitemap.xml,https://www.fromthetrunk.shop/policies/cancellation-policy,200,https://www.fromthetrunk.shop/policies/cancellation-policy,"index, follow",yes,yes,no,no,2026-04-27T00:00:00.000Z,0.35 / yearly,
https://www.fromthetrunk.shop/sitemap.xml,https://www.fromthetrunk.shop/policies/sell-with-us-policy,200,https://www.fromthetrunk.shop/policies/sell-with-us-policy,"index, follow",yes,yes,no,no,2026-04-27T00:00:00.000Z,0.35 / yearly,
https://www.fromthetrunk.shop/sitemap.xml,https://www.fromthetrunk.shop/policies/grievance-redressal,200,https://www.fromthetrunk.shop/policies/grievance-redressal,"index, follow",yes,yes,no,no,2026-04-27T00:00:00.000Z,0.35 / yearly,
https://www.fromthetrunk.shop/sitemap.xml,https://www.fromthetrunk.shop/collection/fabric/silk,200,https://www.fromthetrunk.shop/collection/fabric/silk,"index, follow",yes,yes,no,no,2026-04-27T00:00:00.000Z,0.7 / weekly,
https://www.fromthetrunk.shop/sitemap.xml,https://www.fromthetrunk.shop/blouses,200,https://www.fromthetrunk.shop/blouses,"index, follow",yes,yes,no,no,2026-04-27T00:00:00.000Z,0.7 / weekly,
https://www.fromthetrunk.shop/sitemap.xml,https://www.fromthetrunk.shop/guides/what-is-a-pre-loved-saree,200,https://www.fromthetrunk.shop/guides/what-is-a-pre-loved-saree,"index, follow",yes,yes,no,no,2026-04-27T00:00:00.000Z,0.65 / monthly,
https://www.fromthetrunk.shop/sitemap.xml,https://www.fromthetrunk.shop/guides/pre-loved-vs-second-hand-saree,200,https://www.fromthetrunk.shop/guides/pre-loved-vs-second-hand-saree,"index, follow",yes,yes,no,no,2026-04-27T00:00:00.000Z,0.65 / monthly,
https://www.fromthetrunk.shop/sitemap.xml,https://www.fromthetrunk.shop/collection/tangerine-noir-floral-border-weave,200,https://www.fromthetrunk.shop/collection/tangerine-noir-floral-border-weave,"index, follow",yes,yes,no,no,2026-07-13T13:20:43.001Z,0.8 / weekly,
https://www.fromthetrunk.shop/sitemap.xml,https://www.fromthetrunk.shop/collection/sunset-ombr-chiffon-draped-dream,200,https://www.fromthetrunk.shop/collection/sunset-ombr-chiffon-draped-dream,"index, follow",yes,yes,no,no,2026-07-13T13:20:41.943Z,0.8 / weekly,
https://www.fromthetrunk.shop/sitemap.xml,https://www.fromthetrunk.shop/collection/indigo-plum-tied-silk-saree,200,https://www.fromthetrunk.shop/collection/indigo-plum-tied-silk-saree,"index, follow",yes,yes,no,no,2026-07-13T13:15:33.207Z,0.8 / weekly,
https://www.fromthetrunk.shop/sitemap.xml,https://www.fromthetrunk.shop/collection/forest-flame-tie-dye-silk,200,https://www.fromthetrunk.shop/collection/forest-flame-tie-dye-silk,"index, follow",yes,yes,no,no,2026-07-14T07:05:13.371Z,0.8 / weekly,
https://www.fromthetrunk.shop/sitemap.xml,https://www.fromthetrunk.shop/collection/moonstone-cream-mauve-border-saree,200,https://www.fromthetrunk.shop/collection/moonstone-cream-mauve-border-saree,"index, follow",yes,yes,no,no,2026-07-13T13:15:33.207Z,0.8 / weekly,
https://www.fromthetrunk.shop/sitemap.xml,https://www.fromthetrunk.shop/collection/marigold-moss-cotton,200,https://www.fromthetrunk.shop/collection/marigold-moss-cotton,"index, follow",yes,yes,no,no,2026-07-13T13:15:33.207Z,0.8 / weekly,
https://www.fromthetrunk.shop/sitemap.xml,https://www.fromthetrunk.shop/collection/midnight-garden-georgette-saree,200,https://www.fromthetrunk.shop/collection/midnight-garden-georgette-saree,"index, follow",yes,yes,no,no,2026-07-13T13:15:33.207Z,0.8 / weekly,
https://www.fromthetrunk.shop/sitemap.xml,https://www.fromthetrunk.shop/collection/verdant-bloom-silk-burgundy-gold-border,200,https://www.fromthetrunk.shop/collection/verdant-bloom-silk-burgundy-gold-border,"index, follow",yes,yes,no,no,2026-07-13T13:15:33.207Z,0.8 / weekly,
https://www.fromthetrunk.shop/sitemap.xml,https://www.fromthetrunk.shop/collection/pink-katan-triangle-zari-edge,200,https://www.fromthetrunk.shop/collection/pink-katan-triangle-zari-edge,"index, follow",yes,yes,no,no,2026-07-13T13:15:33.207Z,0.8 / weekly,
https://www.fromthetrunk.shop/sitemap.xml,https://www.fromthetrunk.shop/collection/forest-green-silk-black-gold,200,https://www.fromthetrunk.shop/collection/forest-green-silk-black-gold,"index, follow",yes,yes,no,no,2026-07-13T13:15:33.207Z,0.8 / weekly,
https://www.fromthetrunk.shop/sitemap.xml,https://www.fromthetrunk.shop/collection/teal-blue-moody-silk-drape,200,https://www.fromthetrunk.shop/collection/teal-blue-moody-silk-drape,"index, follow",yes,yes,no,no,2026-07-13T13:15:33.207Z,0.8 / weekly,
https://www.fromthetrunk.shop/sitemap.xml,https://www.fromthetrunk.shop/collection/rose-silk-green-brown-stripe,200,https://www.fromthetrunk.shop/collection/rose-silk-green-brown-stripe,"index, follow",yes,yes,no,no,2026-07-13T13:15:33.207Z,0.8 / weekly,
https://www.fromthetrunk.shop/sitemap.xml,https://www.fromthetrunk.shop/collection/mustard-organza-brown-border-drape,200,https://www.fromthetrunk.shop/collection/mustard-organza-brown-border-drape,"index, follow",yes,yes,no,no,2026-07-13T13:15:33.207Z,0.8 / weekly,
https://www.fromthetrunk.shop/sitemap.xml,https://www.fromthetrunk.shop/collection/charcoal-gold-organza-heirloom-drape,200,https://www.fromthetrunk.shop/collection/charcoal-gold-organza-heirloom-drape,"index, follow",yes,yes,no,no,2026-07-13T13:15:33.207Z,0.8 / weekly,
https://www.fromthetrunk.shop/sitemap.xml,https://www.fromthetrunk.shop/collection/beige-organza-peach-bloom,200,https://www.fromthetrunk.shop/collection/beige-organza-peach-bloom,"index, follow",yes,yes,no,no,2026-07-13T13:15:33.207Z,0.8 / weekly,
https://www.fromthetrunk.shop/sitemap.xml,https://www.fromthetrunk.shop/collection/maroon-chettinad-cotton,200,https://www.fromthetrunk.shop/collection/maroon-chettinad-cotton,"index, follow",yes,yes,no,no,2026-07-13T13:15:33.207Z,0.8 / weekly,
https://www.fromthetrunk.shop/sitemap.xml,https://www.fromthetrunk.shop/collection/deep-wine-organza,200,https://www.fromthetrunk.shop/collection/deep-wine-organza,"index, follow",yes,yes,no,no,2026-07-13T13:15:33.207Z,0.8 / weekly,
https://www.fromthetrunk.shop/sitemap.xml,https://www.fromthetrunk.shop/collection/indigo-dusk-silk-cotton,200,https://www.fromthetrunk.shop/collection/indigo-dusk-silk-cotton,"index, follow",yes,yes,no,no,2026-07-13T13:15:33.207Z,0.8 / weekly,
